ID,SCORETEAM1,SCORETEAM2,POINTS,UTILISATEUR_ID,GAME_ID
171,0,2,3,1,5
172,1,1,0,1,6
173,2,1,1,1,7
174,0,4,0,1,8
175,0,1,0,10,9
176,1,1,3,19,9
177,2,1,0,0,9
178,2,0,0,13,9
179,2,0,0,2,11
180,1,0,0,12,11
181,2,0,0,7,11
182,1,0,0,4,11
183,0,1,3,19,11
184,2,1,0,15,11
185,2,1,0,18,11
186,1,1,0,16,11
187,2,0,0,3,11
188,1,0,0,14,11
189,1,0,0,0,11
190,2,1,0,17,11
191,0,0,0,1,11
192,0,1,3,6,11
193,0,0,0,8,11
194,0,1,0,3,17
195,1,1,0,3,18
196,2,0,0,3,19
197,2,1,1,3,20
198,3,0,1,3,12
199,1,1,0,3,13
200,1,0,0,3,14
201,1,1,0,3,15
202,0,0,0,3,16
203,1,0,3,14,17
204,1,2,1,14,18
205,1,0,0,14,19
206,2,0,1,14,20
207,2,0,1,14,12
208,1,0,0,14,13
209,0,1,0,14,14
210,0,1,0,14,15
211,1,2,0,14,16
212,1,1,0,2,17
213,1,1,0,2,18
214,1,0,0,2,19
215,2,0,1,2,20
216,2,0,1,2,12
217,2,0,0,2,13
218,1,0,0,2,14
219,1,0,3,2,15
220,1,0,1,2,16
221,0,1,0,15,17
222,1,1,0,15,18
223,3,1,0,15,19
224,3,0,1,15,20
225,4,0,1,15,12
226,1,2,0,15,13
227,1,2,0,15,14
228,2,0,1,15,15
229,2,2,0,15,16
230,2,1,0,13,11
231,0,1,0,4,17
232,0,1,1,4,18
233,2,0,0,4,19
234,3,0,1,4,20
235,4,1,1,4,12
236,2,0,0,4,13
237,1,0,0,4,14
238,0,0,0,4,15
239,2,1,1,4,16
240,2,0,1,0,17
241,0,0,0,0,18
242,1,1,3,0,19
243,1,0,3,0,20
244,3,0,1,0,12
245,1,0,0,0,13
246,1,0,0,0,14
247,0,0,0,0,15
248,1,1,0,0,16
249,0,1,0,12,17
250,1,1,0,12,18
251,1,1,3,12,19
252,3,0,1,12,20
253,3,0,1,12,12
254,2,1,0,12,13
255,1,1,3,12,14
256,0,0,0,12,15
257,2,2,0,12,16
258,1,1,0,20,17
259,1,2,1,20,18
260,2,0,0,20,19
261,2,0,1,20,20
262,2,0,1,20,12
263,2,1,0,20,13
264,0,0,1,20,14
265,1,1,0,20,15
266,0,1,0,20,16
267,0,1,0,17,17
268,0,1,1,17,18
269,1,1,3,17,19
270,3,0,1,17,20
271,4,0,1,17,12
272,1,1,0,17,13
273,0,1,0,17,14
274,2,0,1,17,15
275,2,1,1,17,16
276,0,0,0,18,17
277,0,2,1,18,18
278,1,1,3,18,19
279,2,0,1,18,20
280,5,1,1,18,12
281,2,1,0,18,13
282,0,1,0,18,14
283,1,1,0,18,15
284,3,2,1,18,16
285,0,2,0,16,17
286,1,0,0,16,18
287,1,1,3,16,19
288,3,1,1,16,20
289,3,1,1,16,12
290,1,2,0,16,13
291,1,1,3,16,14
292,2,1,1,16,15
293,1,2,0,16,16
294,0,1,0,19,17
295,1,2,1,19,18
296,1,0,0,19,19
297,2,0,1,19,20
298,2,0,1,19,12
299,1,1,0,19,13
300,1,2,0,19,14
301,0,1,0,19,15
302,1,1,0,19,16
303,0,1,0,6,17
304,0,1,1,6,18
305,2,0,0,6,19
306,2,0,1,6,20
307,0,2,0,13,17
308,1,1,0,13,18
309,0,0,1,13,19
310,4,0,1,13,20
311,0,0,0,1,17
312,1,1,0,1,18
313,1,0,0,1,19
314,3,0,1,1,20
315,1,0,1,15,28
316,1,0,1,15,29
317,1,0,0,15,30
318,0,3,1,15,22
319,0,2,3,15,23
320,3,1,0,15,24
321,2,1,0,15,25
322,1,1,0,15,26
323,3,0,1,15,27
324,1,2,1,15,21
325,1,0,1,18,28
326,2,0,1,18,29
327,3,0,0,18,30
328,0,2,1,18,22
329,0,2,3,18,23
330,2,1,0,18,24
331,3,1,0,18,25
332,1,2,3,18,26
333,1,1,0,18,27
334,0,0,0,18,21
335,1,1,0,17,28
336,2,0,1,17,29
337,1,1,1,17,30
338,0,3,1,17,22
339,0,1,1,17,23
340,2,0,0,17,24
341,0,0,1,17,25
342,0,1,1,17,26
343,0,0,0,17,27
344,1,1,0,17,21
345,1,0,1,12,28
346,2,0,1,12,29
347,0,0,1,12,30
348,1,3,3,12,22
349,0,1,1,12,23
350,1,1,0,12,24
351,1,0,0,12,25
352,0,1,1,12,26
353,2,0,1,12,27
354,1,1,0,12,21
355,2,0,1,22,28
356,1,0,1,22,29
357,1,1,1,22,30
358,0,2,1,22,22
359,0,2,3,22,23
360,1,0,0,22,24
361,0,0,1,22,25
362,0,2,1,22,26
363,1,1,0,22,27
364,1,2,1,22,21
365,1,0,1,4,28
366,2,0,1,4,29
367,2,1,0,4,30
368,1,3,3,4,22
369,1,2,1,4,23
370,1,0,0,4,24
371,0,0,1,4,25
372,0,1,1,4,26
373,1,0,3,4,27
374,1,0,0,4,21
375,1,0,1,23,28
376,2,1,3,23,29
377,2,1,0,23,30
378,0,3,1,23,22
379,0,2,3,23,23
380,1,1,0,23,24
381,1,0,0,23,25
382,0,0,0,23,26
383,0,0,0,23,27
384,2,1,0,23,21
385,2,0,1,14,28
386,1,0,1,14,29
387,1,1,1,14,30
388,0,2,1,14,22
389,0,1,1,14,23
390,1,0,0,14,24
391,1,0,0,14,25
392,0,1,1,14,26
393,1,1,0,14,27
394,1,0,0,14,21
395,2,0,1,7,28
396,2,0,1,7,29
397,0,1,0,7,30
398,1,2,1,7,22
399,0,1,1,7,23
400,2,0,0,7,24
401,1,0,0,7,25
402,0,1,1,7,26
403,2,0,1,7,27
404,1,1,0,7,21
405,1,2,1,0,21
406,0,0,0,21,28
407,0,1,0,21,29
408,3,1,0,21,30
409,0,2,1,21,22
410,0,1,1,21,23
411,2,1,0,21,24
412,1,1,3,21,25
413,1,1,0,21,26
414,1,0,3,21,27
415,2,1,0,21,21
416,1,0,1,3,28
417,2,0,1,3,29
418,2,1,0,3,30
419,0,2,1,3,22
420,0,2,3,3,23
421,2,1,0,3,24
422,2,0,0,3,25
423,1,1,0,3,26
424,2,0,1,3,27
425,1,1,0,3,21
426,1,0,1,2,28
427,1,0,1,2,29
428,1,1,1,2,30
429,0,2,1,2,22
430,0,2,3,2,23
431,0,1,1,2,24
432,1,1,3,2,25
433,1,1,0,2,26
434,1,0,3,2,27
435,0,2,1,2,21
436,0,0,0,1,28
437,0,1,0,1,29
438,1,2,0,1,30
439,0,2,1,1,22
440,0,1,1,1,23
441,2,0,0,1,24
442,0,1,0,1,25
443,0,0,0,1,26
444,0,0,0,1,27
445,1,1,0,1,21
446,1,0,1,16,28
447,2,0,1,16,29
448,2,1,0,16,30
449,1,3,3,16,22
450,1,2,1,16,23
451,1,0,0,16,24
452,1,1,3,16,25
453,0,0,0,16,26
454,2,0,1,16,27
455,1,1,0,0,28
456,1,0,1,0,29
457,0,0,1,0,30
458,0,3,1,0,22
459,0,2,3,0,23
460,0,0,0,0,24
461,1,1,3,0,25
462,1,0,0,0,26
463,3,1,1,0,27
464,0,1,0,21,38
465,1,2,0,21,39
466,3,0,0,21,40
467,1,1,0,21,32
468,1,2,0,21,33
469,2,0,1,21,34
470,1,1,0,21,35
471,0,0,0,21,36
472,1,1,1,21,37
473,2,0,0,21,31
474,4,0,0,15,38
475,2,2,3,15,39
476,1,1,1,15,40
477,3,1,1,15,32
478,2,0,0,15,33
479,1,3,0,15,34
480,3,1,1,15,35
481,0,3,0,15,36
482,2,1,0,15,37
483,3,0,0,15,31
484,1,1,1,16,38
485,2,1,0,16,39
486,3,1,0,16,40
487,2,2,0,16,32
488,1,1,1,16,33
489,1,0,1,16,34
490,2,0,1,16,35
491,1,1,0,16,36
492,2,1,0,16,37
493,3,1,0,16,31
494,1,1,1,24,38
495,1,0,0,24,39
496,2,0,0,24,40
497,2,1,1,24,32
498,2,2,1,24,33
499,0,0,0,24,34
500,2,0,1,24,35
501,2,1,3,24,36
502,1,0,0,24,37
503,2,0,0,24,31
504,2,1,0,4,38
505,2,4,0,4,39
506,2,0,0,4,40
507,1,1,0,4,32
508,0,2,0,4,33
509,1,2,0,4,34
510,2,0,1,4,35
511,1,2,0,4,36
512,2,1,0,4,37
513,4,0,0,4,31
514,2,1,0,14,38
515,1,0,0,14,39
516,2,1,0,14,40
517,0,1,0,14,32
518,1,0,0,14,33
519,2,0,1,14,34
520,2,0,1,14,35
521,0,1,0,14,36
522,2,0,0,14,37
523,2,0,0,14,31
524,2,1,0,23,38
525,1,2,0,23,39
526,1,0,0,23,40
527,1,0,1,23,32
528,2,1,0,23,33
529,1,1,0,23,34
530,1,1,0,23,35
531,0,1,0,23,36
532,2,0,0,23,37
533,2,0,0,23,31
534,3,1,0,24,13
535,1,1,1,22,38
536,1,2,0,22,39
537,2,1,0,22,40
538,1,0,1,22,32
539,1,0,0,22,33
540,0,0,0,22,34
541,1,0,1,22,35
542,0,1,0,22,36
543,1,1,1,22,37
544,2,0,0,22,31
545,1,1,1,17,38
546,1,2,0,17,39
547,2,0,0,17,40
548,1,0,1,17,32
549,0,0,3,17,33
550,1,1,0,17,34
551,2,0,1,17,35
552,0,1,0,17,36
553,2,1,0,17,37
554,3,0,0,17,31
555,2,1,0,12,38
556,0,2,0,12,39
557,2,1,0,12,40
558,2,1,1,12,32
559,1,1,1,12,33
560,2,0,1,12,34
561,0,0,0,12,35
562,0,1,0,12,36
563,2,1,0,12,37
564,3,0,0,12,31
565,1,1,1,18,38
566,2,3,0,18,39
567,1,1,1,18,40
568,3,1,1,18,32
569,1,1,1,18,33
570,1,1,0,18,34
571,2,1,1,18,35
572,0,1,0,18,36
573,2,1,0,18,37
574,3,1,0,18,31
575,1,0,0,3,38
576,1,1,1,3,39
577,2,1,0,3,40
578,1,0,1,3,32
579,0,0,3,3,33
580,2,0,1,3,34
581,1,0,1,3,35
582,1,2,0,3,36
583,1,1,1,3,37
584,2,0,0,3,31
585,1,0,0,2,38
586,1,1,1,2,39
587,2,0,0,2,40
588,1,0,1,2,32
589,1,1,1,2,33
590,1,0,1,2,34
591,2,0,1,2,35
592,1,1,0,2,36
593,2,0,0,2,37
594,2,0,0,2,31
595,3,0,0,0,31
596,0,0,1,0,38
597,0,1,0,0,39
598,1,0,0,0,40
599,1,0,1,0,32
600,1,2,0,0,33
601,1,1,0,0,34
602,0,0,0,0,35
603,1,0,1,0,36
604,2,0,0,0,37
605,1,0,0,1,38
606,1,2,0,1,39
607,3,1,0,1,40
608,1,0,1,1,32
609,2,0,0,1,33
610,0,0,0,1,34
611,2,0,1,1,35
612,0,1,0,1,36
613,1,1,1,1,37
614,3,1,0,1,31
615,2,1,0,7,38
616,2,0,0,7,39
617,12,0,0,7,40
618,2,0,3,7,32
619,2,0,0,7,33
620,2,0,1,7,34
621,2,0,1,7,35
622,1,3,0,7,36
623,2,1,0,7,37
